Timestamp,Yaw,Pitch,Roll,Voltage,Current_mA,Power_mW,dt_seconds,Interval_Energy_mJ,Cumulative_Energy_mJ,Cumulative_Energy_J
0,123.87,-7.87,21.12,6.96,3200,22272,0.130081177,2897.167969,2897.167969,2.897167969
0.130081177,124.56,-7.06,26.75,6.88,3200,22016,0.063933849,1407.567627,4304.735596,4.304735596
0.194015026,125.06,-6.5,28.75,6.9,3200,22080,0.091565609,2021.768646,6326.504242,6.326504242
0.285580635,125.56,-5.81,30.12,6.95,3200,22240,0.123127699,2738.360023,9064.864265,9.064864265
0.408708334,126.5,-4.56,29.37,6.98,3200,22336,0.063586473,1420.267471,10485.13174,10.48513174
0.472294807,127.12,-4.37,26.75,7.02,3200,22464,0.055227995,1240.641678,11725.77341,11.72577341
0.527522802,62,-4.69,21.25,6.98,3200,22336,0.063810349,1425.267944,13151.04136,13.15104136
0.591333151,127.81,-5.56,14.5,7.03,3200,22496,0.071295977,1603.87429,14754.91565,14.75491565
0.662629128,127.75,-6.56,7.81,6.89,3200,22048,0.063878059,1408.383453,16163.2991,16.1632991
0.726507187,81,-7.37,3.37,6.88,3200,22016,0.073974848,1628.630249,17791.92935,17.79192935
0.800482035,127.62,-7.62,2.37,6.9,3200,22080,0.184904575,4082.693024,21874.62238,21.87462238
0.98538661,2,-7.37,3,6.9,3200,22080,0.073662996,1626.478958,23501.10133,23.50110133
1.059049606,128.75,-6.87,3.44,6.9,3200,22080,0.261648893,5777.207565,29278.3089,29.2783089
1.3206985,1,-6.19,7.44,6.96,3200,22272,0.175025463,3898.167114,33176.47601,33.17647601
1.495723963,131.75,-6.19,11.38,6.89,3200,22048,0.128232479,2827.269699,36003.74571,36.00374571
1.623956442,132.25,-6.12,12.19,6.92,3200,22144,0.064060211,1418.549316,37422.29503,37.42229503
1.688016653,132.31,-5.94,12.31,6.98,3200,22336,0.129975557,2903.134048,40325.42908,40.32542908
1.81799221,132.37,-6,11.88,6.87,3200,21984,0.12445569,2736.033897,43061.46297,43.06146297
1.942447901,132.69,-6.31,10.81,6.92,3200,22144,0.063294172,1401.586151,44463.04913,44.46304913
2.005742073,133.06,-6.87,9.38,6.96,3200,22272,0.127454281,2838.661743,47301.71087,47.30171087
2.133196354,25,-7.37,8,6.9,3200,22080,0.063971758,1412.496414,48714.20728,48.71420728
2.197168112,133.19,-7.5,7.69,6.88,3200,22016,0.319900513,7042.929688,55757.13697,55.75713697
2.517068624,133.56,-6.56,9.31,6.92,3200,22144,0.252482414,5590.970581,61348.10755,61.34810755
2.769551039,134.62,-6.5,10.31,6.88,3200,22016,0.063195229,1391.306152,62739.4137,62.7394137
