Timestamp,Yaw,Pitch,Roll,Voltage,Current_mA
1776707645.4536116,359.94,-8.0,2.44,7.7,1033.0
1776707645.5774448,94.0,-8.0,2.44,7.7,975.8
1776707645.6416624,359.94,-8.0,2.44,7.69,1009.2
1776707645.7056804,359.94,-8.0,2.44,7.72,1032.0
1776707645.8325834,359.94,-8.0,2.44,7.7,1012.9
1776707645.895935,359.94,-8.0,2.44,7.69,994.1
1776707645.9788687,94.0,-8.0,2.44,7.7,1008.0
1776707646.0430052,4.0,-8.0,2.44,7.7,959.2
1776707646.1659997,94.0,-8.0,2.44,7.7,1009.2
1776707646.2307055,359.94,-8.0,2.44,7.69,1011.7
1776707646.2958999,359.94,-8.0,2.44,7.71,1010.3
1776707646.3593225,94.0,-8.0,2.44,7.69,1049.8
1776707646.423004,359.94,-8.0,2.44,7.7,958.8
1776707646.5506248,359.94,-8.0,2.44,7.7,1027.0
1776707646.6143262,359.94,-8.0,2.44,7.7,982.4
1776707646.6781015,359.94,-8.0,2.44,7.69,988.9
1776707646.741166,359.94,-8.0,2.44,7.71,977.5
1776707646.8046298,359.94,-8.0,2.44,7.7,1000.1
1776707646.8679419,359.94,-8.0,2.44,7.7,1001.4
1776707647.0589504,359.94,-8.0,2.44,7.69,992.2
1776707647.1221843,359.94,-8.0,2.44,7.7,986.7
1776707647.1858256,359.94,-8.0,2.44,7.7,1009.3
1776707647.2494853,359.94,-8.0,2.44,7.7,958.7
1776707647.3129518,359.94,-8.0,2.44,7.7,999.9
1776707647.377223,359.94,-8.0,2.44,7.7,1054.7
1776707647.5033507,359.94,-8.0,2.44,7.7,994.4
1776707647.55989,359.94,-8.0,2.44,7.7,1033.9
1776707647.6296144,359.94,-8.0,2.44,7.7,1035.2
1776707647.8833427,359.94,-8.0,2.44,7.72,1007.7
1776707648.0248296,94.0,-8.0,2.44,7.71,1003.9
1776707648.1052916,359.94,-8.0,2.44,7.69,1001.8
1776707648.1680214,359.94,-8.0,2.44,7.7,1034.7
1776707648.2307217,359.94,-8.0,2.44,7.69,997.9
1776707648.3595493,359.94,-8.0,2.44,7.7,981.6
1776707648.4321363,359.94,-8.0,2.44,7.7,960.3
1776707648.5506396,359.94,-8.0,2.44,7.7,935.3
1776707648.6147542,359.94,-8.0,2.44,7.71,975.1
1776707648.678441,4.0,-8.0,2.44,7.7,976.9
1776707648.7423966,359.94,-8.0,2.44,7.71,1021.2
1776707648.822463,359.94,-8.0,2.44,7.7,1002.2
1776707648.8927329,359.94,-8.0,2.44,7.69,1025.4
1776707648.957233,359.94,-8.0,2.44,7.7,994.4
1776707649.0141432,59.94,-8.0,2.44,7.7,1004.4
1776707649.0811076,359.94,-8.0,2.44,7.69,996.0
1776707649.1444728,359.94,-8.0,2.44,7.69,968.1
