Timestamp,Yaw,Pitch,Roll,Voltage,Current_mA
1776819384.3526363,328.25,-3.62,-21.0,7.46,1319.9
1776819384.4153144,335.94,-9.19,-15.81,7.38,1446.7
1776819384.7818398,1.0,-9.31,-2.94,7.27,1129.2
1776819385.9099252,0.0,0.0,0.0,7.49,1063.0
1776819386.037036,357.75,-0.19,-0.06,7.03,3200.0
1776819386.3547444,44.0,-10.0,3.12,7.42,1276.3
1776819386.8449094,342.94,-8.38,0.25,7.33,1691.6
1776819387.161621,341.75,-6.56,-3.87,7.44,1361.5
1776819387.3521156,343.62,-7.31,-10.63,7.44,1388.5
1776819387.669862,343.12,-10.94,-18.56,7.04,3200.0
1776819387.844323,345.81,-12.5,-12.94,7.29,1581.9
1776819388.1621108,350.81,-8.56,2.62,7.41,1658.3
1776819388.2891803,9.0,-8.75,-0.44,7.31,2496.5
1776819388.7969906,342.94,-8.44,-9.44,7.34,2137.1
1776819388.987668,343.19,-9.38,-14.44,6.7,3200.0
1776819389.176991,87.0,-10.44,-19.75,7.08,3129.5
1776819389.3670454,340.25,-11.88,-23.62,7.35,1712.2
1776819389.4937513,340.19,-11.19,-15.13,7.4,1644.4
1776819389.8743331,336.69,-9.63,-1.69,7.42,1273.9
1776819390.1751094,333.19,-7.87,-2.12,7.4,1414.4
1776819390.3028688,333.0,-7.62,-6.56,7.27,2390.6
1776819390.4955068,333.12,-8.56,-11.25,6.62,3200.0
1776819390.6784632,9.0,-9.94,-17.62,7.1,3200.0
1776819390.8040273,332.19,-11.38,-25.19,7.22,2474.6
1776819390.9919682,0.0,-10.5,-20.87,7.41,1317.6
1776819391.1803212,69.0,-9.63,-9.13,7.42,1196.9
1776819391.305983,329.87,-8.38,-1.75,7.39,1276.6
1776819391.685742,323.37,-6.87,-1.12,7.4,1279.5
1776819392.0035892,319.37,-8.44,-5.06,6.84,3200.0
1776819392.3205986,314.87,-12.44,-19.62,7.1,2.0
1776819392.6370397,312.37,-9.19,-10.94,7.45,1260.1
1776819392.8286803,9.0,-7.19,-3.06,7.35,1890.6
1776819393.335533,321.62,-9.81,-4.62,7.44,1243.1
1776819393.5255895,325.94,-11.0,-10.0,6.75,3200.0
1776819394.336622,333.87,-9.56,-3.37,7.38,1318.0
1776819394.6511617,332.87,-8.63,-3.0,7.43,1173.8
1776819395.1554375,330.06,-8.56,-15.0,7.06,3200.0
1776819395.3463695,328.37,-10.56,-24.94,7.12,2980.2
1776819395.474221,328.62,-9.88,-22.94,7.42,1128.4
1776819395.6620119,328.5,-8.25,-14.56,7.41,1143.0
1776819395.9773927,325.56,-6.56,-6.87,7.32,1915.7
1776819396.1649277,325.37,-6.31,-8.44,7.4,1396.2
1776819396.4795103,326.81,-10.44,-16.69,6.56,3200.0
1776819396.6682155,325.44,-12.0,-25.12,7.06,3200.0
1776819396.9815357,44.0,-11.81,-34.5,7.44,1315.8
1776819397.359468,323.94,-9.88,-19.81,7.42,1393.1
1776819397.6728423,323.06,-8.94,-18.94,7.45,1262.3
1776819397.8629382,323.5,-9.56,-20.81,7.4,1554.5
1776819397.9882915,322.31,-10.56,-26.0,6.83,3200.0
1776819398.1775196,320.06,-10.38,-37.13,6.92,3200.0
1776819398.6216755,317.81,-8.56,-38.31,7.3,0.0
1776819399.1742027,312.19,-3.06,-31.06,7.46,1083.3
1776819399.3616195,313.0,-3.87,-30.94,7.45,1095.8
1776819399.4866786,317.44,-8.75,-33.25,6.76,3200.0
