Timestamp,Yaw,Pitch,Roll,Voltage,Current_mA
1776811222.5829647,359.94,-6.56,2.62,7.95,907.6
1776811222.786193,359.94,-6.56,2.62,7.94,873.3
1776811222.9178674,359.94,-6.56,2.62,7.95,846.8
1776811222.9937696,359.94,-6.56,2.62,7.95,871.9
1776811223.049921,359.94,-6.56,2.62,7.95,833.1
1776811223.1138995,359.94,-6.56,2.62,7.95,804.4
1776811223.1897955,359.94,-6.56,2.62,7.97,843.9
1776811223.2524598,359.94,-6.56,2.62,7.95,776.5
1776811223.3197014,359.94,-6.56,2.62,7.95,892.2
1776811223.3845394,359.94,-6.56,2.62,7.96,861.8
1776811223.4480445,359.94,-6.56,2.62,7.95,793.5
1776811223.5206387,359.94,-6.56,2.62,7.95,878.6
1776811223.5898058,359.94,-6.56,2.62,7.96,875.6
1776811223.6528301,4.0,-6.56,2.62,7.95,852.1
1776811223.71647,359.94,-6.56,2.62,7.95,801.4
1776811224.0356066,359.94,-6.56,2.62,7.95,864.2
1776811224.1624448,359.94,-6.56,2.62,7.95,838.3
1776811224.2900572,359.94,-6.56,2.62,7.95,797.1
1776811224.4813147,359.94,-6.56,2.62,7.96,813.4
1776811224.5450304,359.94,-6.56,2.62,7.96,850.7
1776811224.7990627,4.0,-6.56,2.62,7.95,861.1
1776811224.989508,359.94,-6.56,2.62,7.94,869.4
1776811225.11694,359.94,-6.56,2.62,7.95,881.4
1776811225.1810322,359.94,-6.56,2.62,7.94,807.0
1776811225.3134372,359.94,-6.56,2.62,7.96,899.5
1776811225.3726385,359.94,-6.56,2.62,7.96,867.1
1776811225.5022945,359.94,-6.56,2.62,7.95,743.8
1776811225.6274202,359.94,-6.56,2.62,7.95,865.8
1776811225.69141,359.94,-6.56,2.62,7.95,843.8
1776811225.82342,94.0,-6.56,2.62,7.94,839.8
1776811226.016078,359.94,-6.56,2.62,7.93,831.2
1776811226.135515,359.94,-6.56,2.62,7.95,892.5
1776811226.2023263,4.0,-6.56,2.62,7.95,880.6
1776811226.3387237,359.94,-6.56,2.62,7.95,892.7
1776811226.4575386,359.94,-6.56,2.62,7.94,847.3
1776811226.5208611,359.94,-6.56,2.62,7.96,898.6
1776811226.6485574,4.0,-6.56,2.62,7.96,813.4
1776811226.775357,359.94,-6.56,2.62,7.95,888.2
1776811226.8393385,359.94,-6.56,2.62,7.95,834.4
1776811227.0323308,359.94,-6.56,2.62,7.94,901.5
1776811227.157685,359.94,-6.56,2.62,7.94,847.7
1776811227.284375,359.94,-6.56,2.62,7.95,913.6
1776811227.3487678,359.94,-6.56,2.62,7.94,783.4
1776811227.5397346,4.0,-6.56,2.62,7.93,860.7
1776811227.8555984,359.94,-6.56,2.62,7.94,895.3
1776811227.9813795,359.94,-6.56,2.62,7.96,850.6
1776811228.1081471,359.94,-6.56,2.62,7.94,849.7
1776811228.4248486,359.94,-6.56,2.62,7.93,864.6
1776811228.4879081,359.94,-6.56,2.62,7.95,823.8
1776811228.6156223,359.94,-6.56,2.62,7.93,857.6
1776811228.6775823,359.94,-6.56,2.62,7.95,914.4
1776811228.932354,4.0,-6.56,2.62,7.94,840.5
1776811228.9961011,94.0,-6.56,2.62,7.93,886.8
1776811229.140267,359.94,-6.56,2.62,7.95,863.4
1776811229.2190526,359.94,-6.56,2.62,7.94,847.8
1776811229.346228,359.94,-6.56,2.62,7.94,966.0
1776811229.409761,4.0,-6.56,2.62,7.95,932.6
1776811229.6639032,94.0,-6.56,2.62,7.94,923.4
1776811229.7277381,4.0,-6.56,2.62,7.94,932.3
1776811229.8539507,359.94,-6.56,2.62,7.92,852.4
1776811229.9176617,359.94,-6.56,2.62,7.94,868.6
1776811230.0447137,359.94,-6.56,2.62,7.96,935.6
1776811230.2343087,359.94,-6.56,2.62,7.94,838.9
1776811230.3617792,4.0,-6.56,2.62,7.94,822.6
1776811230.4885223,359.94,-6.56,2.62,7.95,898.0
1776811230.6784039,359.94,-6.56,2.62,7.95,863.1
1776811230.8043592,359.94,-6.56,2.62,7.94,869.9
1776811230.8676922,359.94,-6.56,2.62,7.95,854.3
1776811231.0148466,359.94,-6.56,2.62,7.95,908.1
1776811231.0750163,359.94,-6.56,2.62,7.95,835.3
1776811231.2028723,359.94,-6.56,2.62,7.95,874.8
1776811231.2666354,359.94,-6.56,2.62,7.96,881.0
1776811231.3934112,359.94,-6.56,2.62,7.94,829.9
1776811231.5202518,359.94,-6.56,2.62,7.95,921.0
1776811231.5839689,359.94,-6.56,2.62,7.94,876.0
1776811231.7112286,359.94,-6.56,2.62,7.96,862.8
1776811231.9023542,359.94,-6.56,2.62,7.95,809.2
1776811232.036739,359.94,-6.56,2.62,7.95,909.3
1776811232.0951953,359.94,-6.56,2.62,7.94,836.8
1776811232.2306168,359.94,-6.56,2.62,7.95,801.7
1776811232.348771,359.94,-6.56,2.62,7.93,791.5
1776811232.4122934,359.94,-6.56,2.62,7.94,875.4
1776811232.543047,359.94,-6.56,2.62,7.94,927.4
1776811232.605862,359.94,-6.56,2.62,7.94,874.7
1776811232.7322805,359.94,-6.56,2.62,7.93,782.2
1776811232.8582942,359.94,-6.56,2.62,7.95,865.9
1776811232.9245656,94.0,-6.56,2.62,7.95,842.4
1776811233.0530422,359.94,-6.56,2.62,7.94,905.8
1776811233.1805794,359.94,-6.56,2.62,7.94,928.8
1776811233.2443755,359.94,-6.56,2.62,7.94,944.0
1776811233.378659,359.94,-6.56,2.62,7.94,853.5
1776811233.4519525,94.0,-6.56,2.62,7.94,865.3
1776811233.5647585,359.94,-6.56,2.62,7.94,887.9
1776811233.6913555,359.94,-6.56,2.62,7.94,889.0
1776811233.7548347,359.94,-6.56,2.62,7.96,896.1
1776811233.8815336,359.94,-6.56,2.62,7.95,916.6
1776811234.0094483,359.94,-6.56,2.62,7.94,908.0
1776811234.068962,359.94,-6.56,2.62,7.94,810.9
1776811234.1992016,359.94,-6.56,2.62,7.94,865.0
1776811234.2619863,359.94,-6.56,2.62,7.94,835.6
1776811234.390569,359.94,-6.56,2.62,7.96,882.8
1776811234.5167356,359.94,-6.56,2.62,7.94,831.5
1776811234.581471,359.94,-6.56,2.62,7.95,849.0
1776811234.7095196,359.94,-6.56,2.62,7.94,831.2
1776811234.7797759,359.94,-6.56,2.62,7.95,772.7
1776811234.9165633,359.94,-6.56,2.62,7.94,884.6
1776811235.23323,359.94,-6.56,2.62,7.94,872.7
1776811235.312636,4.0,-6.56,2.62,7.94,856.5
1776811235.4551418,359.94,-6.56,2.62,7.94,753.5
1776811235.5180485,359.94,-6.56,2.62,7.94,898.7
1776811235.6443148,359.94,-6.56,2.62,7.94,810.4
1776811235.707335,359.94,-6.56,2.62,7.94,773.4
1776811235.83429,359.94,-6.56,2.62,7.93,846.6
1776811235.9606085,359.94,-6.56,2.62,7.93,789.7
1776811236.3466432,359.94,-6.56,2.62,7.95,888.7
1776811236.4808016,359.94,-6.56,2.62,7.95,794.6
1776811236.5378811,359.94,-6.56,2.62,7.94,815.3
1776811236.7865016,4.0,-6.56,2.62,7.94,899.3
1776811236.8510032,359.94,-6.56,2.62,7.94,889.7
1776811237.105838,4.0,-6.56,2.62,7.93,828.5
1776811237.1691828,359.94,-6.56,2.62,7.94,831.9
1776811237.312092,359.94,-6.56,2.62,7.94,832.7
1776811237.4863508,359.94,-6.56,2.62,7.96,774.3
1776811237.6130526,94.0,-6.56,2.62,7.95,914.2
1776811237.677561,359.94,-6.56,2.62,7.94,926.7
1776811237.8037796,359.94,-6.56,2.62,7.95,725.0
1776811237.995523,359.94,-6.56,2.62,7.94,845.4
1776811238.3149302,359.94,-6.56,2.62,7.94,792.2
1776811238.504942,359.94,-6.56,2.62,7.95,909.9
1776811238.631701,359.94,-6.56,2.62,7.94,916.4
1776811238.821232,359.94,-6.56,2.62,7.95,802.0
1776811238.9474032,359.94,-6.56,2.62,7.94,834.2
1776811239.07545,359.94,-6.56,2.62,7.93,7980.0
1776811239.4381518,359.94,-6.56,2.62,7.96,912.3
1776811239.5655873,359.94,-6.56,2.62,7.95,865.1
1776811239.6925855,359.94,-6.56,2.62,7.94,857.0
1776811239.7568793,94.0,-6.56,2.62,7.94,863.1
1776811239.8843772,4.0,-6.56,2.62,7.94,831.6
1776811239.9478683,359.94,-6.56,2.62,7.93,814.9
1776811240.0753148,94.0,-6.56,2.62,7.94,823.8
1776811240.1898842,359.94,-6.56,2.62,7.94,698.6
1776811240.266716,359.94,-6.56,2.62,7.92,797.1
1776811240.3935606,359.94,-6.56,2.62,7.96,815.7
1776811240.5199018,359.94,-6.56,2.62,7.94,950.5
1776811240.582983,4.0,-6.56,2.62,7.93,857.7
1776811240.711241,359.94,-6.56,2.62,7.93,833.2
1776811240.7735333,359.94,-6.56,2.62,7.95,889.6
1776811240.9066036,359.94,-6.56,2.62,7.94,844.4
1776811240.9799984,359.94,-6.56,2.62,7.94,902.1
1776811241.1069071,359.94,-6.56,2.62,7.94,887.0
1776811241.1917393,359.94,-6.56,2.62,7.93,822.2
1776811241.3131006,359.94,-6.56,2.62,7.94,904.8
1776811241.5050278,94.0,-6.56,2.62,7.92,829.6
1776811241.631354,359.94,-6.56,2.62,7.94,847.4
1776811241.7585955,359.94,-6.56,2.62,7.96,902.0
1776811241.8220916,359.94,-6.56,2.62,7.94,808.0
1776811242.0762856,359.94,-6.56,2.62,7.94,892.8
1776811242.1393092,94.0,-6.56,2.62,7.94,757.8
1776811242.348173,359.94,-6.56,2.62,7.93,824.3
1776811242.4734771,4.0,-6.56,2.62,7.94,893.7
1776811242.5367625,359.94,-6.56,2.62,7.92,850.8
1776811242.6641402,359.94,-6.56,2.62,7.94,865.2
1776811242.8538396,359.94,-6.56,2.62,7.95,909.7
1776811242.9815936,359.94,-6.56,2.62,7.92,872.8
1776811243.1082392,359.94,-6.56,2.62,7.95,7.7
1776811243.1879575,359.94,-6.56,2.62,7.94,861.1
1776811243.3152678,359.94,-6.56,2.62,7.96,880.2
1776811243.37826,359.94,-6.56,2.62,7.94,841.6
1776811243.506015,359.94,-6.56,2.62,7.92,814.3
1776811243.568609,4.0,-6.56,2.62,7.97,736.5
1776811243.8240454,359.94,-6.56,2.62,7.94,841.5
1776811243.887888,359.94,-6.56,2.62,7.94,846.2
1776811244.0155895,4.0,-6.56,2.62,7.93,881.7
1776811244.0947208,359.94,-6.56,2.62,7.94,850.7
1776811244.2222958,359.94,-6.56,2.62,7.94,866.6
1776811244.3499897,359.94,-6.56,2.62,7.94,811.1
1776811244.41378,359.94,-6.56,2.62,7.94,852.0
1776811244.5751948,359.94,-6.56,2.62,7.95,838.2
1776811245.069547,359.94,-6.56,2.62,7.94,806.4
1776811245.1284363,359.94,-6.56,2.62,7.93,839.9
1776811245.4046414,359.94,-6.56,2.62,7.96,856.8
1776811245.4672377,359.94,-6.56,2.62,7.95,859.8
1776811245.93128,359.94,-6.56,2.62,7.94,834.2
1776811246.0146182,359.94,-6.56,2.62,7.94,858.2
1776811246.0925376,359.94,-6.56,2.62,7.96,918.6
1776811246.1730235,359.94,-6.56,2.62,7.93,757.1
1776811246.244498,359.94,-6.56,2.62,7.94,819.8
1776811246.3207994,359.94,-6.56,2.62,7.95,928.3
1776811246.4718866,359.94,-6.56,2.62,7.92,861.9
1776811246.610517,359.94,-6.56,2.62,7.94,887.3
1776811246.6849716,359.94,-6.56,2.62,7.94,929.7
1776811246.8260806,359.94,-6.56,2.62,7.93,879.3
1776811247.0408075,359.94,-6.56,2.62,7.94,770.4
1776811247.1102402,359.94,-6.56,2.62,7.93,835.6
1776811247.1835513,359.94,-6.56,2.62,7.93,7710.0
1776811247.3246732,359.94,-6.56,2.62,7.94,915.6
1776811247.3945029,359.94,-6.56,2.62,7.93,879.8
1776811247.534616,4.0,-6.56,2.62,7.93,908.9
1776811247.6061015,359.94,-6.56,2.62,7.94,973.3
1776811247.7429185,359.94,-6.56,2.62,7.93,884.3
1776811247.8176684,359.94,-6.56,2.62,7.93,911.0
1776811247.9565055,359.94,-6.56,2.62,7.94,876.6
1776811248.0277486,359.94,-6.56,2.62,7.94,887.8
1776811248.1634133,94.0,-6.56,2.62,7.93,914.2
1776811248.2345266,359.94,-6.56,2.62,7.94,883.6
1776811248.3721848,359.94,-6.56,2.62,7.92,910.6
1776811248.4430835,359.94,-6.56,2.62,7.94,864.2
1776811248.5885832,359.94,-6.56,2.62,7.94,907.3
1776811248.660163,359.94,-6.56,2.62,7.94,908.4
1776811248.7317982,359.94,-6.56,2.62,7.96,879.3
1776811248.8691416,359.94,-6.56,2.62,7.92,840.7
1776811249.0568073,4.0,-6.56,2.62,7.94,870.7
1776811249.1463194,359.0,-6.56,2.62,7.92,853.7
1776811249.2884831,359.94,-6.56,2.62,7.94,873.9
1776811249.4991817,359.94,-6.56,2.62,7.94,867.7
1776811249.7780235,359.94,-6.56,2.62,7.93,871.0
1776811249.924965,359.94,-6.56,2.62,7.93,900.4
1776811249.9992473,359.94,-6.56,2.62,7.94,955.2
1776811250.074502,359.94,-6.56,2.62,7.93,830.9
1776811250.2152157,94.0,-6.56,2.62,7.92,857.1
1776811250.285643,359.94,-6.56,2.62,7.93,805.4
1776811250.4296498,359.94,-6.56,2.62,7.93,900.8
1776811250.5072937,359.94,-6.56,2.62,7.94,889.3
1776811250.5900383,359.94,-6.56,2.62,7.94,885.8
1776811250.7456417,359.94,-6.56,2.62,7.93,791.0
1776811250.8149326,359.94,-6.56,2.62,7.94,841.5
1776811250.9704359,359.94,-6.56,2.62,7.94,800.2
1776811251.1130486,94.0,-6.56,2.62,7.94,836.1
1776811251.3274455,94.0,-6.56,2.62,7.93,906.6
1776811251.4656026,4.0,-6.56,2.62,7.94,925.0
1776811251.5398319,359.94,-6.56,2.62,7.92,857.5
1776811251.68528,359.94,-6.56,2.62,7.94,910.3
1776811251.7559705,359.94,-6.56,2.62,7.93,892.2
1776811251.8984752,359.94,-6.56,2.62,7.94,932.6
1776811251.9666674,94.0,-6.56,2.62,7.95,828.3
1776811252.0389225,359.94,-6.56,2.62,7.94,884.5
1776811252.244655,359.94,-6.56,2.62,7.93,901.6
1776811252.3808,359.94,-6.56,2.62,7.93,843.3
1776811252.452783,359.94,-6.56,2.62,7.92,867.0
1776811252.6628287,94.0,-6.56,2.62,7.93,893.7
1776811252.7998815,359.94,-6.56,2.62,7.92,884.2
1776811252.872598,94.0,-6.56,2.62,7.93,914.7
1776811253.0129862,359.94,-6.56,2.62,7.92,881.3
1776811253.0820472,359.94,-6.56,2.62,7.92,923.4
1776811253.2262511,359.94,-6.56,2.62,7.93,917.2
1776811253.2948582,359.94,-6.56,2.62,7.94,888.4
1776811253.4337492,359.94,-6.56,2.62,7.94,885.8
1776811253.5066543,94.0,-6.56,2.62,7.93,864.9
1776811253.6483653,359.94,-6.56,2.62,7.94,848.6
1776811253.7197895,94.0,-6.56,2.62,7.92,833.3
1776811253.8623142,359.94,-6.56,2.62,7.94,833.5
1776811254.0058343,359.94,-6.56,2.62,7.92,889.9
1776811254.3734028,359.94,-6.56,2.62,7.94,906.3
