Timestamp,Yaw,Pitch,Roll,Voltage,Current_mA
1776815092.8325949,123.87,-7.87,21.12,6.96,3200.0
1776815092.962676,124.56,-7.06,26.75,6.88,3200.0
1776815093.0266101,125.06,-6.5,28.75,6.9,3200.0
1776815093.1181755,125.56,-5.81,30.12,6.95,3200.0
1776815093.2413032,126.5,-4.56,29.37,6.98,3200.0
1776815093.3048897,127.12,-4.37,26.75,7.02,3200.0
1776815093.3601177,62.0,-4.69,21.25,6.98,3200.0
1776815093.423928,127.81,-5.56,14.5,7.03,3200.0
1776815093.495224,127.75,-6.56,7.81,6.89,3200.0
1776815093.559102,81.0,-7.37,3.37,6.88,3200.0
1776815093.633077,127.62,-7.62,2.37,6.9,3200.0
1776815093.8179817,2.0,-7.37,3.0,6.9,3200.0
1776815093.8916445,128.75,-6.87,3.44,6.9,3200.0
1776815094.1532934,1.0,-6.19,7.44,6.96,3200.0
1776815094.3283188,131.75,-6.19,11.38,6.89,3200.0
1776815094.4565513,132.25,-6.12,12.19,6.92,3200.0
1776815094.5206115,132.31,-5.94,12.31,6.98,3200.0
1776815094.650587,132.37,-6.0,11.88,6.87,3200.0
1776815094.7750428,132.69,-6.31,10.81,6.92,3200.0
1776815094.838337,133.06,-6.87,9.38,6.96,3200.0
1776815094.9657912,25.0,-7.37,8.0,6.9,3200.0
1776815095.029763,133.19,-7.5,7.69,6.88,3200.0
1776815095.3496637,133.56,-6.56,9.31,6.92,3200.0
1776815095.602146,134.62,-6.5,10.31,6.88,3200.0
1776815095.6653411,12.0,-6.87,10.25,6.9,3200.0
1776815095.798197,133.44,-7.19,9.56,6.88,3200.0
1776815095.856372,133.0,-7.5,9.0,6.88,3200.0
1776815095.9831963,31.0,-7.31,8.94,6.92,3200.0
1776815096.1092765,131.12,-6.94,9.25,6.88,3200.0
1776815096.1772628,129.81,-6.81,9.44,6.91,3200.0
1776815096.298867,127.81,-6.62,9.38,6.94,3200.0
1776815096.491306,87.0,-6.19,9.13,6.89,3200.0
1776815096.616821,1.0,-6.44,9.0,6.91,3200.0
1776815096.6802862,123.94,-6.69,8.88,7.06,3200.0
1776815096.807652,123.56,-6.81,8.94,6.88,3200.0
1776815096.9952343,122.56,-6.81,9.81,6.96,3200.0
1776815097.1228127,122.31,-6.81,10.13,6.98,3200.0
1776815097.2490182,122.25,-6.69,10.31,6.94,32.0
1776815097.4233718,94.0,-6.94,10.06,6.9,3200.0
1776815097.5495443,121.87,-7.0,9.5,6.9,3200.0
1776815097.7393663,121.62,-6.81,9.69,7.04,3200.0
1776815097.8668067,121.69,-6.87,10.06,6.89,3200.0
1776815097.9303005,121.12,-7.12,10.19,6.91,3200.0
1776815098.0573406,120.06,-7.31,10.25,6.89,3200.0
1776815098.1212678,69.0,-7.19,10.13,6.95,3200.0
1776815098.2468972,119.69,-7.12,9.81,6.86,3200.0
1776815098.4360805,120.44,-6.69,9.75,6.96,3200.0
1776815098.6930366,121.62,-6.12,10.56,7.01,3200.0
1776815098.7547882,122.31,-6.19,10.88,6.9,3200.0
1776815099.007964,4.0,-6.31,11.63,6.93,3200.0
1776815099.0712779,124.0,-6.31,12.13,6.93,3200.0
1776815099.4053295,125.25,-6.56,12.06,6.9,3200.0
1776815099.5956538,125.69,-6.87,11.0,6.91,3200.0
1776815099.7262259,126.37,-6.69,10.94,6.89,3200.0
1776815099.7881682,127.12,-6.5,11.25,6.92,3200.0
1776815099.9790344,129.12,-6.19,11.75,7.02,3200.0
1776815100.1243386,130.12,-6.19,11.88,6.9,3200.0
1776815100.2490163,131.19,-6.5,12.0,6.92,3200.0
1776815100.5512617,132.12,-6.12,13.19,6.88,3200.0
